출발 행정동 코드,도착 행정동 코드,이동인구(합)
11100,23050,81947.42
11100,23060,97012.11
11100,23070,60648.979999999996
11100,23080,152697.8
11100,23310,55042.09
11100,23320,5932.01
11100,31011,43384.3
11100,31012,50691.59
11100,31013,49537.57
11100,31014,64797.99
11100,31021,136049.92
11100,31022,86703.12
11100,31023,299322.42
11100,31030,7492175.76
11100,31041,59250.45
11100,31042,130008.85
11100,31050,230009.29
11100,31060,93642.45
11100,31070,84124.98
11100,31080,518766.93
11100,31091,43819.97
11100,31092,86329.47
11100,31101,541009.63
11100,31103,251485.07
11100,31104,152794.19
11100,31110,120663.84
11100,31120,541963.49
11100,31130,2318624.47
11100,31140,36755.09
11100,31150,98939.04
11100,31160,74963.18
11100,31170,57888.53
11100,31180,377629.85
11100,31191,115496.37
11100,31192,119995.36
11100,31193,92081.61
11100,31200,400499.92
11100,31210,113023.1
11100,31220,53365.58
11100,31230,201824.53
11100,31240,181840.01
11100,31250,200910.12
11100,31260,2052914.35
11100,31270,911675.16
11100,31280,66328.69
11100,31350,148651.62
11100,31370,205620.95
11100,31380,212202.22
11110,11010,5298709.54
11110,11020,5104647.1
11110,11030,1936692.66
11110,11040,3123673.2199999997
11110,11050,3516582.32
11110,11060,6745262.09
11110,11070,13852532.77
11110,11080,11347250.09
11110,11090,8642088.3
11110,11100,20521822.79
11110,11110,169274706.67
11110,11120,805036.57
11110,11130,1274523.44
11110,11140,1890895.51
11110,11150,365345.52999999997
11110,11160,910078.46
11110,11170,650810.75
11110,11180,399423.72
11110,11190,1627341.79
11110,11200,892313.69
11110,11210,682687.75
11110,11220,3134025.93
11110,11230,6314114.08
11110,11240,3005603.42
11110,11250,1746382.92
11110,23010,504771.02999999997
11110,23020,13728.31
11110,23030,109717.25
11110,23040,123103.55
11110,23050,154744.1
11110,23060,184026.04
11110,23070,107946.06999999999
11110,23080,276820.2
11110,23310,91145.91
11110,23320,9346.88
11110,31011,86603.1
11110,31012,103818.4
11110,31013,97838.26
11110,31014,148142.63999999998
11110,31021,337557.44
11110,31022,193932.51
11110,31023,729968.39
11110,31030,9827028.7
11110,31041,116787.68
11110,31042,240360.34
11110,31050,444061.45
11110,31060,188831.48
11110,31070,160118.9
11110,31080,594485.94
11110,31091,84868.63
11110,31092,136716.56
11110,31101,888587.5
11110,31103,453254.48
11110,31104,283509.02
11110,31110,220745.07
11110,31120,2402540.9
11110,31130,11466271.14
11110,31140,69952.36
11110,31150,178492.38
11110,31160,115998.15
11110,31170,106310.69
11110,31180,1105678.49
11110,31191,240876.7
11110,31192,264231.51
11110,31193,205417.0
11110,31200,612572.81
11110,31210,256695.29
11110,31220,117293.55
11110,31230,362520.29
11110,31240,345952.94
11110,31250,453176.11
11110,31260,2599656.01
11110,31270,1576386.23
11110,31280,146503.78
11110,31350,174167.32
11110,31370,456761.99
11110,31380,527504.14
11120,11010,9312748.81
11120,11020,6392459.36
11120,11030,2725834.27
11120,11040,1475586.79
11120,11050,769553.2
11120,11060,1362391.81
11120,11070,510497.33
11120,11080,1774180.53
11120,11090,699727.48
11120,11100,445728.8
11120,11110,810205.95
11120,11120,141644808.08
11120,11130,19257728.05
11120,11140,13716290.27
11120,11150,1098559.08
11120,11160,2735731.82
11120,11170,1281567.87
11120,11180,704335.24
11120,11190,3636199.62
11120,11200,1007405.04
11120,11210,999102.39
11120,11220,2860628.23
11120,11230,4375119.62
11120,11240,1413369.5
11120,11250,610445.39
11120,23010,724079.33
11120,23020,28164.95
11120,23030,170122.97
11120,23040,181479.38999999998
11120,23050,212285.47
11120,23060,311528.72
11120,23070,268615.0
11120,23080,641439.38
11120,23310,179034.05
11120,23320,14363.1
11120,31011,79876.42
11120,31012,101812.11
11120,31013,95650.42
11120,31014,122630.5
11120,31021,204929.8
11120,31022,98557.42
11120,31023,502868.04
11120,31030,705935.96
11120,31041,149862.2
11120,31042,247464.82
11120,31050,819085.82
11120,31060,317582.96
11120,31070,137621.1
11120,31080,79913.96
11120,31091,101481.74
11120,31092,166659.52
11120,31101,21239275.75
11120,31103,3457611.66
11120,31104,1642463.92
11120,31110,229980.3
11120,31120,223835.02
11120,31130,704364.51
11120,31140,58752.11
11120,31150,264133.1
11120,31160,137713.73
11120,31170,98705.02
11120,31180,307785.25
11120,31191,179807.89
11120,31192,194140.23
11120,31193,152863.2
11120,31200,2694394.11
11120,31210,111684.44
11120,31220,82292.61
11120,31230,1084743.53
11120,31240,337713.0
11120,31250,213396.47
11120,31260,1879182.89
11120,31270,231914.24
11120,31280,76133.14
11120,31350,74948.38
11120,31370,175928.68
11120,31380,188189.46
11130,11010,15509151.36
11130,11020,11179456.27
11130,11030,5259104.6
11130,11040,2270164.27
11130,11050,1402998.46
11130,11060,1958122.79
11130,11070,742012.75
11130,11080,2614402.88
11130,11090,1052727.21
11130,11100,663959.63
11130,11110,1245267.25
11130,11120,19155968.37
11130,11130,103513343.66
11130,11140,31857917.02
11130,11150,2173279.27
11130,11160,3796463.46
11130,11170,1905562.24
11130,11180,821378.87
11130,11190,5843520.17
11130,11200,1799322.3699999999
11130,11210,1920355.96
11130,11220,3623344.93
11130,11230,5051794.62
11130,11240,2192186.39
11130,11250,988994.92
11130,23010,809095.39
11130,23020,32656.1
11130,23030,287371.38
11130,23040,398922.61
11130,23050,335289.19
11130,23060,550562.58
11130,23070,370434.48
11130,23080,850313.47
11130,23310,169752.13999999998
11130,23320,9255.52
11130,31011,171615.58
11130,31012,172315.25
11130,31013,149194.83
11130,31014,253778.49
11130,31021,269735.68
11130,31022,141529.1
11130,31023,940992.1900000001
11130,31030,526311.1
11130,31041,269993.84
11130,31042,420776.64
11130,31050,1390573.99
11130,31060,531364.25
11130,31070,171610.19
11130,31080,66955.49
11130,31091,156537.82
11130,31092,202908.46
11130,31101,6072058.61
11130,31103,1937866.86
11130,31104,1225320.03
11130,31110,305295.75
11130,31120,312702.81
11130,31130,879876.57
11130,31140,79818.76
11130,31150,338375.06
11130,31160,259142.37
11130,31170,164420.29
11130,31180,461049.08999999997
11130,31191,221151.13999999998
11130,31192,366881.5
11130,31193,327895.55
11130,31200,1636186.38
11130,31210,113272.29
11130,31220,87741.01
11130,31230,1330383.33
11130,31240,453941.04
11130,31250,263477.29
11130,31260,462713.33
11130,31270,157393.97
11130,31280,75255.26
11130,31350,57001.02
11130,31370,150172.9
11130,31380,186896.55
11140,11010,7928373.75
11140,11020,9621615.26
11140,11030,13123206.1
11140,11040,3262071.96
11140,11050,2320854.31
11140,11060,2753431.15
11140,11070,1317987.01
11140,11080,3365235.03
11140,11090,1443855.53
11140,11100,997267.71
11140,11110,1909009.6
11140,11120,14018252.42
11140,11130,32125211.32
11140,11140,164509144.67
11140,11150,4940458.21
11140,11160,9407382.88
11140,11170,4122693.4899999998
11140,11180,1756750.83
11140,11190,14507274.01
11140,11200,3682693.0
11140,11210,4578223.89
11140,11220,5086298.32
11140,11230,7161474.52
11140,11240,3211625.4899999998
11140,11250,1552761.9
11140,23010,1471831.03
11140,23020,65804.21
11140,23030,614992.37
11140,23040,625545.29
11140,23050,739368.52
11140,23060,1248748.19
11140,23070,985171.95
11140,23080,2273753.28
11140,23310,249317.71
11140,23320,13450.95
11140,31011,290030.91
11140,31012,327495.0
11140,31013,287741.83
11140,31014,426204.37
11140,31021,472755.3
11140,31022,253517.58
11140,31023,1344242.78
11140,31030,809252.23
11140,31041,554564.94
11140,31042,795335.59
11140,31050,3082879.36
11140,31060,1205732.73
11140,31070,275978.26
11140,31080,89730.73
11140,31091,329681.65
11140,31092,386763.48
11140,31101,8978462.79
11140,31103,3220864.03
11140,31104,2339194.53
11140,31110,469127.07
11140,31120,504236.42
11140,31130,1395703.12
11140,31140,126844.59
11140,31150,686821.79
11140,31160,508427.3
11140,31170,297042.14
11140,31180,784792.73
11140,31191,327335.51
11140,31192,546489.34
11140,31193,519450.02
11140,31200,3114189.5
11140,31210,154223.04
11140,31220,137238.62
11140,31230,3056415.41
11140,31240,765822.07
11140,31250,425779.31
11140,31260,469416.98
11140,31270,197892.08
11140,31280,110725.52
11140,31350,57444.25
11140,31370,205403.98
11140,31380,276820.56
11150,11010,2396777.36
11150,11020,2567138.86
11150,11030,1662034.89
11150,11040,794065.71
11150,11050,550018.99
11150,11060,582970.26
11150,11070,244064.7
11150,11080,624878.48
11150,11090,251936.41
11150,11100,179082.99
11150,11110,368694.08
11150,11120,1094764.55
11150,11130,2220058.15
11150,11140,4841564.6
11150,11150,102310941.83
11150,11160,34515886.28
11150,11170,11409162.75
11150,11180,1750440.21
11150,11190,14198157.16
11150,11200,1888363.92
11150,11210,2058197.94
11150,11220,2644209.36
11150,11230,3429960.98
11150,11240,1210887.05
11150,11250,439197.99
11150,23010,989618.86
11150,23020,70754.17
11150,23030,432070.3
11150,23040,400293.7
11150,23050,559831.64
11150,23060,964694.63
11150,23070,816831.64
11150,23080,1341397.8699999999
11150,23310,280757.65
11150,23320,19536.51
11150,31011,122459.44
11150,31012,144092.82
11150,31013,123380.41
11150,31014,159326.93
11150,31021,186362.8
11150,31022,86788.5
11150,31023,521829.98
11150,31030,183026.19
11150,31041,361257.67
11150,31042,406637.21
11150,31050,7328108.13
11150,31060,2002872.28
11150,31070,194942.41
11150,31080,34431.68
11150,31091,196212.32
11150,31092,307281.23
11150,31101,1531645.73
11150,31103,800993.12
11150,31104,514986.36
11150,31110,266374.73
11150,31120,111640.99
11150,31130,364004.22
11150,31140,79571.56999999999
11150,31150,891630.92
11150,31160,244127.48
11150,31170,166262.88
11150,31180,242623.12
11150,31191,216560.69
11150,31192,215079.84
11150,31193,149479.58
11150,31200,882438.83
11150,31210,104828.64
11150,31220,91656.97
11150,31230,2599898.42
11150,31240,531142.41
11150,31250,214613.99
11150,31260,186949.0
11150,31270,125194.18
11150,31280,79626.0
11150,31350,42666.35
11150,31370,142218.73
11150,31380,133293.93
11160,11010,3634294.03
11160,11020,4007399.7399999998
11160,11030,2845920.6
11160,11040,1436942.0
11160,11050,1048451.05
11160,11060,1069210.85
11160,11070,571418.0
11160,11080,1115147.06
11160,11090,558354.71
11160,11100,413852.52
11160,11110,802800.68
11160,11120,2609147.02
11160,11130,3643090.47
11160,11140,9077392.3
11160,11150,34563765.75
11160,11160,192019644.94
11160,11170,5788781.44
11160,11180,1983135.02
11160,11190,14607672.47
11160,11200,2935164.3
11160,11210,2788770.87
11160,11220,4276508.48
11160,11230,5845623.46
11160,11240,2310621.89
11160,11250,983903.49
11160,23010,2925836.32
11160,23020,87048.16
11160,23030,735374.5599999999
11160,23040,742683.33
11160,23050,947377.23
11160,23060,1817045.88
11160,23070,2683760.17
11160,23080,4583450.12
11160,23310,621407.83
11160,23320,26384.3
11160,31011,225212.47
11160,31012,283952.58
11160,31013,233982.7
11160,31014,284171.3
11160,31021,344895.46
11160,31022,190984.46
11160,31023,960685.32
11160,31030,505603.98
11160,31041,512042.76
11160,31042,642951.47
11160,31050,9109602.62
11160,31060,1484894.73
11160,31070,304408.06
11160,31080,68466.1
11160,31091,292345.6
11160,31092,496598.96
11160,31101,4839546.79
11160,31103,2466486.38
11160,31104,1606530.73
11160,31110,405119.17
11160,31120,269279.81
11160,31130,789168.0
11160,31140,139123.26
11160,31150,1100038.09
